Number,ATTRIBUTE OR SET OF ATTRIBUTES,ES,SW,ESN,LSN,EGB,LGB,SC,ESAC,MSACI,MSACII,LSAC,Soho
315,Filled in or partly filled in Snaketown style design and bowl exterior with trailing lines or no painted exterior design,,,,1,,,,,,,,
316,Surface coating present and Snaketown style design present,,,,1,,,,,,,,
319,Surface coating absent and fire clouding present,1,1,1,1,1,1,,,,,,
320,Surface coating absent and sooted surface,1,1,1,1,1,,,,,,,
321,Surface coating absent and gray paste,1,1,1,1,1,1,,,,,,
324,"Full field negative design, not hachure filled",,,,,1,1,1,,,,,
326,"Repeated negaive life form, not in a rim solid, not Snaketown style",,,,,1,1,1,,,,,
330,Surface coating absent,1,1,1,1,1,1,1,,,,,
333,Serrated curvilinear scroll,,,1,1,1,1,1,1,1,,,
335,Avg. thickest line < 2.2 mm and either linebird or organizational banding,,,,,,,1,,,,,
338,Thickest line < 2.2 mm avg width and surface coating present,,,,,,,1,1,,,,1
340,Organizational banding layout and full rim line,,,,,,,,1,,,,
342,Large solid (> 5cm) and thickest line < 2.5 mm avg. width; in combination with other traits that place the sherd post SC,,,,,,,,1,,,,
345,Trailing lines present spaced > 3 cm (or unknown) and large solid and thickest line > 2.5 mm,,,,,,,,1,,,,
347,"Trailing lines present, umber of trailing lines/bowl < 6",,,,,,,1,1,0.05,,,
348,Gila Shoulder angle < 110 degrees,,,,,,,,,1,1,,
349,Thick serrated line,,,,1,1,,,1,1,1,1,1
350,Large solid and thickest line > 3.1 mm,,,,,,,,1,1,1,1,1
